,majaxis_pix,majaxis_H,sum_Qphi_H,sum_Uphi_H,f_H,majaxis_V,sum_Qphi_V,sum_Uphi_V,f_V,majaxis_I,sum_Qphi_I,sum_Uphi_I,f_I
51,55,674.85,617.5824678673177,0.016957803307562788,1.026583546306579,,,,,,,,
52,56,687.12,620.1057171185795,0.021094650758185108,1.0256315696544065,,,,,,,,
53,57,699.39,642.097212544473,0.01886733794650454,1.0247669467252603,,,,,,,,
54,58,711.66,650.4429207779496,0.015571436373402527,1.0239176701369026,,,,,,,,
55,59,723.93,676.3660112190593,0.017465157745944204,1.0231146871983743,,,,,,,,
56,60,736.1999999999999,680.7862579660136,0.019478254001737128,1.0223473107101786,,,,,,,,
57,61,748.47,695.0284355239472,0.016433733967404385,1.0215409380549538,,,,,,,,
58,62,760.74,707.2165543314237,0.01596906570754568,1.0209037042162454,,,,,,,,
59,63,773.01,703.7830736752546,0.011798423711475148,1.0202007221493727,,,,,,,,
60,64,785.28,745.4201521791638,0.015426175994842545,1.019559234853275,,,,,,,,
61,65,797.55,724.1281902130423,0.025747245835055558,1.0191565664400892,,,,,,,,
62,66,809.8199999999999,744.2040846064132,0.02512422467240379,1.018537811977857,,,,,,,,
63,67,822.0899999999999,748.5422306806386,0.023609366353060813,1.017978637367092,,,,,,,,
64,68,834.36,766.6304995192966,0.025894760079465742,1.0174393015789047,,,,,,,,
65,69,846.63,771.0105247983212,0.024835608464530864,1.0168473383746306,,,,,,,,
66,70,858.9,781.204288287425,0.024724628651471438,1.0163794693710988,,,,,,,,
67,71,871.17,803.2444741355353,0.022616129004545422,1.0158800045007375,,,,,,,,
68,72,883.4399999999999,815.4155169624959,0.022109077829712956,1.0154332150611785,,,,,,,,
69,73,895.7099999999999,829.5758633367255,0.023733327990427072,1.0149764924612223,,,,,,,,
70,74,907.98,826.0310605902664,0.021278212108011233,1.0144896965510968,,,,,,,,
71,75,920.25,830.1308388627589,0.0031794360084632304,1.014297940254215,,,,,,,,
72,76,932.52,860.0432472375743,0.0033958549971499405,1.013902501764685,,,,,,,,
73,77,944.79,856.4347185627618,0.004266378992632907,1.0135039848181853,,,,,,,,
74,78,957.06,890.3006145620011,0.005262189521445581,1.0131409382927974,,,,,,,,
75,79,969.3299999999999,896.5401422618422,0.0022778033669008796,1.0127823141407213,,,,,,,,
76,80,981.5999999999999,892.8853525677871,-0.00016023094698903155,1.012448011830689,,,,,,,,
77,81,993.87,918.8564679295977,0.007532636105935309,1.0121276091090825,,,,,,,,
78,82,1006.14,917.1931706269177,0.006649524138037089,1.0117825009160237,,,,,,,,
79,83,1018.41,962.929074181818,0.004903222755614082,1.0114971352667783,,,,,,,,
80,84,1030.68,955.3017738023015,0.0024820540402092435,1.0111987923513608,,,,,,,,
81,85,1042.95,965.4409842561427,0.005984594593374784,1.010936987258722,,,,,,,,
82,86,1055.22,1001.1978327262483,0.0038476842411662763,1.0107892435647183,,,,,,,,
83,87,1067.49,989.5947520990383,0.00787670981285881,1.0105146554980118,,,,,,,,
84,88,1079.76,1011.6368298386291,0.004956644216863469,1.0102439629081357,,,,,,,,
